timestamp,http_method,endpoint,status_code,response_time_ms,client_ip,user_agent,request_size_bytes,response_size_bytes,request_id,header_field_1,header_field_2,header_field_3,header_field_4,header_field_5,header_field_6,header_field_7,header_field_8,header_field_9,header_field_10,header_field_11,header_field_12,header_field_13,header_field_14,header_field_15,header_field_16,header_field_17,header_field_18,header_field_19,header_field_20,header_field_21,header_field_22,header_field_23,header_field_24,header_field_25,header_field_26,header_field_27,header_field_28,header_field_29,header_field_30,header_field_31,header_field_32,header_field_33,header_field_34,header_field_35,header_field_36,header_field_37,header_field_38,header_field_39,header_field_40
2026-05-01 21:42:22.781524,GET,/api/users,200,39,192.168.1.36,python-requests/2.25.1,639,8441,695161ab-c289-44ca-86d5-b37d5bd07c7c,False,False,value_71_0,16.67,669,814,value_10_0,35.39,317,2,0.51,False,458,21.07,68,20,False,value_34_0,value_6_0,value_86_0,False,False,48.46,False,True,value_97_0,False,value_11_0,95.03,242,value_58_0,989,value_90_0,67.62,value_77_0,False,619,407,31.32,63.25
2026-04-30 11:27:22.781524,PATCH,/api/auth/login,201,256,192.168.1.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",2879,14888,89e5f671-c1d3-4041-b15d-826308bf981b,True,False,value_2_1,87.86,284,708,value_66_1,95.86,244,159,81.99,False,83,62.3,360,406,False,value_27_1,value_46_1,value_53_1,False,True,75.43,False,False,value_32_1,False,value_61_1,20.29,830,value_32_1,965,value_17_1,32.51,value_96_1,True,18,504,14.71,64.45
2026-04-28 05:05:22.781524,POST,/api/metrics,403,170,192.168.1.174,python-requests/2.25.1,4236,6069,8832e075-c549-4a5b-86b2-686f4777f781,False,False,value_88_2,49.54,304,915,value_31_2,18.44,747,738,22.86,False,207,63.16,601,618,True,value_86_2,value_27_2,value_42_2,False,False,61.95,True,False,value_82_2,False,value_3_2,56.55,560,value_97_2,365,value_82_2,68.63,value_73_2,True,331,293,48.79,81.98
2026-04-30 19:33:22.781524,POST,/api/auth/login,200,80,192.168.1.190,python-requests/2.25.1,4935,4800,2e7ca684-8f11-44e0-8ec9-a38724dbf19d,True,True,value_93_3,74.15,428,522,value_36_3,9.03,696,997,90.87,True,899,73.31,957,335,False,value_92_3,value_88_3,value_52_3,True,False,29.74,True,True,value_36_3,False,value_96_3,97.96,959,value_60_3,757,value_97_3,6.96,value_37_3,False,583,795,13.0,33.34
2026-05-02 09:48:22.781524,GET,/api/settings,200,118,10.0.0.167,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",3875,6769,8a653e25-4dcf-4324-be91-feb4e0b2394f,True,False,value_15_4,57.32,476,745,value_86_4,77.1,271,780,0.11,False,389,13.16,219,814,True,value_41_4,value_32_4,value_90_4,False,False,43.03,False,True,value_99_4,False,value_70_4,16.53,31,value_73_4,786,value_63_4,17.49,value_57_4,False,455,276,83.55,73.31
2026-04-28 20:51:22.781524,GET,/api/metrics,204,69,192.168.1.229,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",2608,4318,de658822-9c8b-49a8-a402-67db95c83c43,False,False,value_88_5,99.77,285,385,value_63_5,6.82,439,119,55.62,True,313,71.58,961,116,False,value_31_5,value_86_5,value_38_5,False,True,17.07,False,False,value_100_5,True,value_7_5,70.03,390,value_79_5,543,value_14_5,85.57,value_16_5,False,956,437,37.04,52.86
2026-04-25 18:40:22.781524,GET,/api/metrics,401,199,192.168.1.190,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",2879,12515,a6d5a8ec-1884-491b-a030-3f2bc58c5025,False,False,value_69_6,75.24,143,706,value_28_6,83.71,747,892,75.66,True,21,90.9,703,123,True,value_34_6,value_14_6,value_71_6,False,True,7.46,False,False,value_67_6,False,value_45_6,58.58,276,value_86_6,648,value_2_6,22.72,value_60_6,False,108,106,37.48,79.34
2026-04-27 12:29:22.781524,PUT,/api/orders,200,27,192.168.1.140,python-requests/2.25.1,1024,12734,a6178f2b-d874-4865-ba31-7d172e75e8b1,False,True,value_97_7,70.7,423,470,value_70_7,43.72,238,88,25.87,False,409,17.97,965,398,False,value_51_7,value_46_7,value_17_7,True,False,78.27,True,True,value_63_7,True,value_29_7,58.65,531,value_49_7,523,value_74_7,83.7,value_89_7,False,267,657,47.4,99.05
2026-04-30 12:18:22.781524,POST,/api/metrics,200,11,192.168.1.29,PostmanRuntime/7.28.4,3056,18790,0d270bb4-d3f0-4a43-bf93-f07806d7a9e2,False,True,value_35_8,77.86,18,118,value_17_8,91.55,376,328,19.31,True,894,23.75,574,792,False,value_17_8,value_100_8,value_25_8,True,False,26.54,True,True,value_81_8,False,value_84_8,69.77,153,value_44_8,906,value_37_8,27.93,value_39_8,True,444,419,44.41,20.07
2026-04-29 13:48:22.781524,POST,/api/auth/login,500,207,10.0.0.167,python-requests/2.25.1,1681,6754,26786208-833a-453f-80e8-c9585fb84a74,False,True,value_99_9,14.31,17,395,value_93_9,72.15,265,579,8.41,False,514,97.14,584,803,True,value_86_9,value_72_9,value_54_9,False,False,17.78,False,True,value_31_9,True,value_9_9,92.96,382,value_4_9,813,value_61_9,64.29,value_90_9,True,239,610,99.49,99.46
